,지역본부,지역,명,주소,동,호,주택군,주택열람일정,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형, 임대보증금, 월임대료, 임대보증금, 월임대료
1,서울지역본부,서울특별시,매입다가구(서울강남구),"서울특별시 강남구 언주로69길 23-4(역삼동,엔 트라움) ",A,201,강남역삼동(엔트라움),열람불가(계약 전 주택 개방),29.27,18.9,48.17,2,2층,Y,도시형생활주택,"  281,041,000 ","  314,420 ","  321,190,000 ","  352,060 "
2,서울지역본부,서울특별시,매입다가구(서울강남구),"서울특별시 강남구 언주로69길 23-4(역삼동,엔 트라움) ",A,203,강남역삼동(엔트라움),열람불가(계약 전 주택 개방),29.78,19.24,49.02,2,2층,Y,도시형생활주택,"  277,375,000 ","  311,880 ","  317,000,000 ","  349,030 "
3,서울지역본부,서울특별시,매입다가구(서울강남구),서울특별시 강남구 역삼로11길 18(역삼동) 역삼에르스떼,,301,강남역삼동(역삼에르스떼),열람불가(계약 전 주택 개방),27.25,6.136,33.386,2,3층,Y,도시형생활주택,"  221,120,000 ","  256,390 ","  252,709,000 ","  286,000 "
4,서울지역본부,서울특별시,매입다가구(서울강남구),서울특별시 강남구 역삼로11길 18(역삼동) 역삼에르스떼,,404,강남역삼동(역삼에르스떼),열람불가(계약 전 주택 개방),27.5,6.196,33.696,2,4층,Y,도시형생활주택,"  223,177,000 ","  258,720 ","  255,060,000 ","  288,610 "
5,서울지역본부,서울특별시,매입다가구(서울강남구),서울특별시 강남구 역삼로11길 18(역삼동) 역삼에르스떼,,502,강남역삼동(역삼에르스떼),열람불가(계약 전 주택 개방),26.33,5.947,32.277,2,5층,Y,도시형생활주택,"  219,886,000 ","  235,870 ","  251,298,000 ","  262,700 "
6,서울지역본부,서울특별시,매입다가구(서울강남구),서울특별시 강남구 역삼로11길 18(역삼동) 역삼에르스떼,,504,강남역삼동(역삼에르스떼),열람불가(계약 전 주택 개방),27.5,6.196,33.696,2,5층,Y,도시형생활주택,"  223,177,000 ","  258,720 ","  255,060,000 ","  288,610 "
7,서울지역본부,서울특별시,매입다가구(서울강남구),서울특별시 강남구 헌릉로569길 3(세곡동) 강남투엠캐슬,,710,강남세곡동(강남투엠캐슬),열람불가(계약 전 주택 개방),55.83,62.998,118.828,2,7층,Y,오피스텔,"  190,381,000 ","  252,100 ","  217,578,000 ","  281,560 "
8,서울지역본부,서울특별시,매입다가구(서울강동구),서울특별시 강동구 구천면로41길 46(천호동) 시온291,,202,강동천호동(시온291),열람불가(계약 전 주택 개방),45.82,7.12,52.94,2,2층,Y,다세대주택,"  237,595,000 ","  248,510 ","  271,537,000 ","  277,490 "
9,서울지역본부,서울특별시,매입다가구(서울강동구),서울특별시 강동구 구천면로41길 46(천호동) 시온291,,203,강동천호동(시온291),열람불가(계약 전 주택 개방),57.42,8.92,66.34,3,2층,Y,다세대주택,"  291,780,000 ","  288,090 ","  333,462,000 ","  321,090 "
10,서울지역본부,서울특별시,매입다가구(서울강동구),"서울특별시 강동구 구천면로48길 25(천호동,티엘하우스) 티엘하우스",A,201,강동천호동(티엘하우스),열람불가(계약 전 주택 개방),41.55,5.76,47.31,2,2층,Y,다세대주택,"  131,856,000 ","  132,920 ","  150,694,000 ","  147,830 "
11,서울지역본부,서울특별시,매입다가구(서울강동구),"서울특별시 강동구 성내로 81(성내동,집앤사비디아파트) 집앤사비디아파트",,601,강동성내동(집앤사비디),열람불가(계약 전 주택 개방),38.4,24.71,63.11,2,6층,Y,도시형생활주택,"  207,352,000 ","  234,990 ","  236,974,000 ","  262,760 "
12,서울지역본부,서울특별시,매입다가구(서울강북구),"서울특별시 강북구 덕릉로30길 49(미아동,청운美家) 101동",101,201,강북미아동(청운미가),열람불가(계약 전 주택 개방),51.6000,7.8300,59.4300,3,2층,Y,다세대주택,"  191,346,000 ","  214,530 ","  218,681,000 ","  240,160 "
13,서울지역본부,서울특별시,매입다가구(서울강북구),"서울특별시 강북구 삼양로165길 25-5(우이동,스마트힐) ",B,201,강북우이동(스마트힐),열람불가(계약 전 주택 개방),44.1200,8.3600,52.4800,3,2층,Y,도시형생활주택,"  127,126,000 ","  145,680 ","  145,287,000 ","  162,700 "
14,서울지역본부,서울특별시,매입다가구(서울강북구),"서울특별시 강북구 삼양로165길 25-5(우이동,스마트힐) ",B,401,강북우이동(스마트힐),열람불가(계약 전 주택 개방),44.1200,8.3600,52.4800,3,4층,Y,도시형생활주택,"  127,126,000 ","  145,680 ","  145,287,000 ","  162,700 "
15,서울지역본부,서울특별시,매입다가구(서울강북구),"서울특별시 강북구 삼양로38나길 5(미아동,프랑지파니 A동) ",,202,강북미아동(프랑지파니),열람불가(계약 전 주택 개방),51.4000,6.9700,58.3700,2,2층,Y,다세대주택,"  138,234,000 ","  156,790 ","  157,982,000 ","  175,300 "
